title,date,year,genre,rating,total_gross,adjusted_gross
A Low Down Dirty Shame,11/23/1994,1994,Action,R,29.32,60.32
The Jungle Book,12/25/1994,1994,Adventure,PG,44.34,88.93
Houseguest,1/6/1995,1995,Comedy,PG,26.33,51.02
Bad Company,1/20/1995,1995,Thriller/Suspense,R,3.52,6.83
Miami Rhapsody,1/27/1995,1995,Romantic Comedy,PG-13,5.09,9.86
The Jerky Boys,2/3/1995,1995,Comedy,R,7.56,14.64
Heavy Weights,2/17/1995,1995,Comedy,PG,17.67,34.25
Man of the House,3/3/1995,1995,Comedy,PG,40.03,77.57
Roommates,3/3/1995,1995,Comedy,PG,12.08,23.4
Tall Tale,3/24/1995,1995,Western,PG,8.25,15.98
A Pyromaniac's Love Story,3/28/1995,1995,Romantic Comedy,PG,0.47,0.91
Funny Bones,3/31/1995,1995,Comedy,R,0.53,1.03
Jefferson in Paris,3/31/1995,1995,Drama,PG-13,2.46,4.77
A Goofy Movie,4/7/1995,1995,Comedy,G,35.34,68.48
While You Were Sleeping,4/21/1995,1995,Romantic Comedy,PG,81.06,157.08
Crimson Tide,5/12/1995,1995,Action,R,91.39,177.1
Mad Love,5/26/1995,1995,Drama,PG-13,15.45,29.93
Pocahontas,6/10/1995,1995,Adventure,G,141.58,274.37
Judge Dredd,6/30/1995,1995,Action,R,34.69,67.22
Operation Dumbo Drop,7/28/1995,1995,Adventure,PG,24.67,47.81
A Kid in King Arthur's Court,8/11/1995,1995,Adventure,PG,13.41,25.98
Dangerous Minds,8/11/1995,1995,Drama,R,84.92,164.55
The Tie That Binds,9/8/1995,1995,Thriller/Suspense,R,5.76,11.17
Unstrung Heroes,9/15/1995,1995,Drama,PG,7.93,15.37
The Big Green,9/29/1995,1995,Comedy,PG,17.74,34.37
Dead Presidents,10/4/1995,1995,Drama,R,24.12,46.74
The Scarlet Letter,10/13/1995,1995,Drama,R,10.36,20.08
Feast of July,10/13/1995,1995,Drama,R,0.29,0.57
Powder,10/27/1995,1995,Drama,PG-13,30.83,59.73
Toy Story,11/22/1995,1995,Adventure,G,191.8,370.41
Father of the Bride Part II,12/8/1995,1995,Comedy,PG,76.58,147.66
Nixon,12/20/1995,1995,Drama,R,13.67,26.3
Tom and Huck,12/22/1995,1995,Adventure,PG,23.84,45.91
Mr. Holland's Opus,12/29/1995,1995,Drama,PG,82.58,157.51
White Squall,2/2/1996,1996,Adventure,PG-13,10.23,19.51
Muppet Treasure Island,2/16/1996,1996,Adventure,G,34.33,65.47
Mr. Wrong,2/16/1996,1996,Romantic Comedy,PG-13,12.81,24.42
Before and After,2/23/1996,1996,Drama,PG-13,8.64,16.48
Up Close & Personal,3/1/1996,1996,Drama,PG-13,51.05,97.36
Homeward Bound II: Lost in San Francisco,3/8/1996,1996,Adventure,G,32.71,62.38
Two Much,3/15/1996,1996,Romantic Comedy,PG-13,1.08,2.06
Un indien dans la ville,3/22/1996,1996,Comedy,PG,1.03,1.96
James and the Giant Peach,4/12/1996,1996,Adventure,PG,28.92,55.16
Celtic Pride,4/19/1996,1996,Comedy,PG-13,9.24,17.62
Last Dance,5/3/1996,1996,Drama,R,5.86,11.17
Boys,5/10/1996,1996,Drama,PG-13,21.93,41.83
Spy Hard,5/24/1996,1996,Comedy,PG-13,26.94,51.37
Eddie,5/31/1996,1996,Comedy,PG-13,31.37,59.83
The Rock,6/7/1996,1996,Action,R,134.07,255.7
The Hunchback of Notre Dame,6/21/1996,1996,Adventure,G,100.14,190.99
Phenomenon,7/5/1996,1996,Drama,PG,104.64,199.56
Kazaam,7/17/1996,1996,Comedy,PG,18.88,36.01
Jack,8/9/1996,1996,Drama,PG-13,58.62,111.79
First Kid,8/30/1996,1996,Comedy,PG,26.47,50.47
The Rich Man's Wife,9/13/1996,1996,Thriller/Suspense,R,8.54,16.28
D3: The Mighty Ducks,10/4/1996,1996,Comedy,PG,22.94,43.71
The Associate,10/25/1996,1996,Comedy,PG-13,12.77,24.33
Ransom,11/8/1996,1996,Action,R,136.49,259.81
101 Dalmatians,11/27/1996,1996,Comedy,G,136.19,258.73
The Preacher's Wife,12/13/1996,1996,Drama,PG,48.1,91.08
Evita,12/25/1996,1996,Musical,PG,50.05,92.08
Metro,1/17/1997,1997,Action,R,32.02,58.8
Prefontaine,1/24/1997,1997,Drama,PG-13,0.59,1.09
Shadow Conspiracy,1/31/1997,1997,Thriller/Suspense,R,2.15,3.96
That Darn Cat,2/14/1997,1997,Comedy,PG,18.3,33.61
Jungle 2 Jungle,3/7/1997,1997,Comedy,PG,59.93,110.06
The Sixth Man,3/28/1997,1997,Comedy,PG-13,14.77,27.12
Grosse Pointe Blank,4/11/1997,1997,Comedy,R,28.08,51.58
Romy and Michele's High School Reunion,4/25/1997,1997,Comedy,R,29.24,53.69
Gone Fishin',5/30/1997,1997,Comedy,PG,19.75,36.27
Con Air,6/6/1997,1997,Action,R,101.12,185.71
Hercules,6/13/1997,1997,Adventure,G,99.11,182.03
George Of The Jungle,7/16/1997,1997,Comedy,PG,105.26,193.33
Nothing To Lose,7/18/1997,1997,Comedy,R,44.48,81.69
Air Bud,8/1/1997,1997,Comedy,PG,24.65,45.27
G.I. Jane,8/22/1997,1997,Drama,R,48.17,88.47
A Thousand Acres,9/19/1997,1997,Drama,R,7.93,14.56
Washington Square,10/5/1997,1997,Drama,PG,1.78,3.26
Rocket Man,10/10/1997,1997,Comedy,PG,15.45,28.37
Playing God,10/17/1997,1997,Thriller/Suspense,R,4.17,7.65
Flubber,11/26/1997,1997,Comedy,PG,92.99,170.41
Mr. Magoo,12/25/1997,1997,Comedy,PG,21.44,39.15
