animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
1279	DOG	POODLE STND	AUG	2017	NA	NA	LOST REPORT	8/19/2017	LOST REPORT	8/30/2017	UNABLE TO SCAN	OVER THE COUNTER
1280	DOG	AM PIT BULL TER	FEB	2017	10102	6	STRAY	2/8/2017	RETURNED TO OWNER	2/10/2017	SCAN CHIP	FIELD
1281	CAT	DOMESTIC SH	JUN	2017	11200	4	OWNER SURRENDER	6/29/2017	ADOPTION	7/13/2017	SCAN NO CHIP	FIELD
1282	CAT	DOMESTIC SH	AUG	2017	17003	8	STRAY	8/9/2017	ADOPTION	8/21/2017	SCAN NO CHIP	FIELD
1283	CAT	DOMESTIC MH	JUN	2017	9900	6	STRAY	6/21/2017	EUTHANIZED	6/21/2017	SCAN NO CHIP	OVER THE COUNTER
1284	DOG	GERM SHEPHERD	AUG	2017	8701	4	OWNER SURRENDER	8/25/2017	EUTHANIZED	8/25/2017	SCAN NO CHIP	OVER THE COUNTER
1285	CAT	DOMESTIC MH	JUN	2017	19208	11	STRAY	6/30/2017	ADOPTION	7/6/2017	SCAN NO CHIP	OVER THE COUNTER
1286	DOG	CHINESE SHARPEI	JUN	2017	5901	4	STRAY	6/28/2017	EUTHANIZED	7/2/2017	SCAN NO CHIP	FIELD
1287	DOG	GERM SHEPHERD	SEP	2017	17102	8	OWNER SURRENDER	9/7/2017	TRANSFER	9/23/2017	SCAN NO CHIP	FIELD
1288	DOG	CHIHUAHUA SH	JUN	2017	17900	9	STRAY	6/2/2017	ADOPTION	6/6/2017	SCAN NO CHIP	FIELD
1289	DOG	CATAHOULA	JAN	2017	11601	8	STRAY	1/11/2017	EUTHANIZED	1/15/2017	SCAN NO CHIP	FIELD
1290	DOG	YORKSHIRE TERR	JUL	2017	10601	6	STRAY	7/31/2017	RETURNED TO OWNER	7/31/2017	SCAN NO CHIP	SWEEP
1291	CAT	DOMESTIC MH	JAN	2017	11105	8	STRAY	1/28/2017	EUTHANIZED	1/28/2017	UNABLE TO SCAN	OVER THE COUNTER
1292	DOG	BEAGLE	FEB	2017	5300	1	STRAY	2/6/2017	TRANSFER	2/10/2017	SCAN NO CHIP	FIELD
1293	CAT	DOMESTIC SH	AUG	2017	9105	5	STRAY	8/21/2017	FOSTER	8/27/2017	SCAN NO CHIP	OVER THE COUNTER
1294	WILDLIFE	OPOSSUM	JUN	2017	7818	13	WILDLIFE	6/15/2017	EUTHANIZED	6/15/2017	SCAN NO CHIP	FIELD
1295	DOG	LABRADOR RETR	DEC	2016	8801	4	STRAY	12/31/2016	EUTHANIZED	12/31/2016	SCAN NO CHIP	FIELD
1296	CAT	DOMESTIC SH	SEP	2017	4201	1	STRAY	9/9/2017	EUTHANIZED	9/9/2017	SCAN NO CHIP	OVER THE COUNTER
1297	DOG	STAFFORDSHIRE	AUG	2017	3700	7	STRAY	8/7/2017	RETURNED TO OWNER	8/7/2017	SCAN NO CHIP	FIELD
1298	CAT	DOMESTIC SH	MAR	2017	8604	4	OWNER SURRENDER	3/28/2017	TRANSFER	4/2/2017	SCAN NO CHIP	OVER THE COUNTER
1299	DOG	CHIHUAHUA LH	MAY	2017	12206	7	OWNER SURRENDER	5/16/2017	EUTHANIZED	5/16/2017	SCAN NO CHIP	OVER THE COUNTER
1300	DOG	LABRADOR RETR	MAR	2017	5300	1	STRAY	3/4/2017	ADOPTION	3/18/2017	SCAN NO CHIP	OVER THE COUNTER
1301	DOG	AM PIT BULL TER	DEC	2016	2000	1	LOST REPORT	12/5/2016	LOST REPORT	1/21/2017	UNABLE TO SCAN	OVER THE COUNTER
1302	DOG	CHIHUAHUA SH	AUG	2017	16701	8	CONFISCATED	8/8/2017	ADOPTION	8/9/2017	SCAN NO CHIP	SWEEP
1303	CAT	DOMESTIC SH	MAY	2017	10601	6	STRAY	5/9/2017	TRANSFER	5/14/2017	SCAN NO CHIP	FIELD
1304	CAT	DOMESTIC SH	APR	2017	12500	9	STRAY	4/30/2017	TRANSFER	4/30/2017	SCAN NO CHIP	OVER THE COUNTER
1305	DOG	LABRADOR RETR	JAN	2017	9402	6	STRAY	1/1/2017	RETURNED TO OWNER	1/14/2017	SCAN CHIP	FIELD
1306	CAT	DOMESTIC SH	APR	2017	5700	4	OWNER SURRENDER	4/28/2017	ADOPTION	5/3/2017	UNABLE TO SCAN	FIELD
1307	DOG	LABRADOR RETR	FEB	2017	31719	12	STRAY	2/13/2017	RETURNED TO OWNER	2/14/2017	SCAN NO CHIP	FIELD
1308	DOG	GERM SHEPHERD	SEP	2017	17102	8	OWNER SURRENDER	9/7/2017	TRANSFER	9/23/2017	SCAN NO CHIP	FIELD
1309	DOG	SHIH TZU	JUN	2017	7819	13	CONFISCATED	6/21/2017	TRANSFER	6/24/2017	SCAN NO CHIP	FIELD
